,filename,label
0,000002_bass.mp3,1
1,000002_drums.mp3,1
2,000002_other.mp3,1
3,000002_vocals.mp3,1
4,000005_bass.mp3,1
5,000005_drums.mp3,1
6,000005_other.mp3,1
7,000005_vocals.mp3,1
8,000010_bass.mp3,1
9,000010_drums.mp3,1
10,000010_other.mp3,1
11,000010_vocals.mp3,1
12,000140_bass.mp3,1
13,000140_drums.mp3,0
14,000140_other.mp3,1
15,000140_vocals.mp3,1
16,000141_bass.mp3,1
17,000141_drums.mp3,1
18,000141_other.mp3,1
19,000141_vocals.mp3,1
20,000148_bass.mp3,0
21,000148_drums.mp3,1
22,000148_other.mp3,1
23,000148_vocals.mp3,1
24,000182_bass.mp3,1
25,000182_drums.mp3,1
26,000182_other.mp3,1
27,000182_vocals.mp3,1
28,000190_bass.mp3,0
29,000190_drums.mp3,0
30,000190_other.mp3,1
31,000190_vocals.mp3,1
32,000193_bass.mp3,0
33,000193_drums.mp3,0
34,000193_other.mp3,1
35,000193_vocals.mp3,0
36,000194_bass.mp3,0
37,000194_drums.mp3,0
38,000194_other.mp3,1
39,000194_vocals.mp3,1
40,000197_bass.mp3,0
41,000197_drums.mp3,0
42,000197_other.mp3,1
43,000197_vocals.mp3,0
44,000200_bass.mp3,0
45,000200_drums.mp3,0
46,000200_other.mp3,1
47,000200_vocals.mp3,1
48,000203_bass.mp3,0
49,000203_drums.mp3,0
50,000203_other.mp3,1
51,000203_vocals.mp3,0
52,000204_bass.mp3,0
53,000204_drums.mp3,0
54,000204_other.mp3,1
55,000204_vocals.mp3,1
56,000207_bass.mp3,0
57,000207_drums.mp3,0
58,000207_other.mp3,1
59,000207_vocals.mp3,0
60,000210_bass.mp3,0
61,000210_drums.mp3,0
62,000210_other.mp3,1
63,000210_vocals.mp3,1
64,000211_bass.mp3,0
65,000211_drums.mp3,0
66,000211_other.mp3,1
67,000211_vocals.mp3,1
68,000212_bass.mp3,1
69,000212_drums.mp3,1
70,000212_other.mp3,1
71,000212_vocals.mp3,1
72,000213_bass.mp3,0
73,000213_drums.mp3,0
74,000213_other.mp3,1
75,000213_vocals.mp3,1
76,000255_bass.mp3,1
77,000255_drums.mp3,0
78,000255_other.mp3,1
79,000255_vocals.mp3,1
80,000256_bass.mp3,1
81,000256_drums.mp3,1
82,000256_other.mp3,1
83,000256_vocals.mp3,1
84,000368_bass.mp3,0
85,000368_drums.mp3,0
86,000368_other.mp3,1
87,000368_vocals.mp3,1
88,000424_bass.mp3,0
89,000424_drums.mp3,0
90,000424_other.mp3,1
91,000424_vocals.mp3,1
92,000459_bass.mp3,1
93,000459_drums.mp3,1
94,000459_other.mp3,1
95,000459_vocals.mp3,0
96,000534_bass.mp3,1
97,000534_drums.mp3,0
98,000534_other.mp3,1
99,000534_vocals.mp3,1
100,000540_bass.mp3,0
101,000540_drums.mp3,0
102,000540_other.mp3,1
103,000540_vocals.mp3,1
104,000546_bass.mp3,0
105,000546_drums.mp3,0
106,000546_other.mp3,1
107,000546_vocals.mp3,1
108,000574_bass.mp3,0
109,000574_drums.mp3,1
110,000574_other.mp3,1
111,000574_vocals.mp3,1
112,000602_bass.mp3,0
113,000602_drums.mp3,0
114,000602_other.mp3,1
115,000602_vocals.mp3,0
116,000615_bass.mp3,0
117,000615_drums.mp3,0
118,000615_other.mp3,1
119,000615_vocals.mp3,0
120,000620_bass.mp3,0
121,000620_drums.mp3,1
122,000620_other.mp3,1
123,000620_vocals.mp3,0
124,000621_bass.mp3,0
125,000621_drums.mp3,0
126,000621_other.mp3,1
127,000621_vocals.mp3,1
128,000625_bass.mp3,0
129,000625_drums.mp3,0
130,000625_other.mp3,1
131,000625_vocals.mp3,1
132,000666_bass.mp3,0
133,000666_drums.mp3,1
134,000666_other.mp3,1
135,000666_vocals.mp3,1
136,000667_bass.mp3,1
137,000667_drums.mp3,1
138,000667_other.mp3,1
139,000667_vocals.mp3,1
140,000676_bass.mp3,1
141,000676_drums.mp3,1
142,000676_other.mp3,1
143,000676_vocals.mp3,1
144,000690_bass.mp3,1
145,000690_drums.mp3,1
146,000690_other.mp3,1
